Pavadinimas,Metai,Trukme,Filmo indeksas,Ivertinimas pagal zmones,Ivertinimas pagal kritikus,Votes
1. Animal,2023,3h 24m,,7.1,33,"37,347"
2. May December,2023,1h 57m,R,7.1,85,"14,340"
3. Leave the World Behind,2023,2h 18m,R,6.7,68,"36,690"
4. Godzilla Minus One,2023,2h 4m,PG-13,8.5,79,"13,830"
5. Napoleon,2023,2h 38m,R,6.6,64,"58,983"
6. Killers of the Flower Moon,2023,3h 26m,R,7.9,89,"114,247"
7. Candy Cane Lane,2023,1h 57m,PG,5.6,47,"8,746"
8. Furiosa: A Mad Max Saga,2024,,,,,N/A
9. The Hunger Games: The Ballad of Songbirds & Snakes,2023,2h 37m,PG-13,7.2,54,"48,810"
10. Wonka,2023,1h 56m,PG,7.5,68,"6,287"
11. Lady Ballers,2023,1h 52m,TV-14,6.4,,"8,244"
12. Poor Things,2023,2h 21m,R,8.5,88,"4,539"
13. Family Switch,2023,1h 46m,PG,5.6,37,"12,147"
14. Saltburn,2023,2h 11m,R,7.5,60,"11,154"
15. Oppenheimer,2023,3h,R,8.4,89,"542,484"
16. Godzilla x Kong: The New Empire,2024,,,,,N/A
17. Indiana Jones and the Dial of Destiny,2023,2h 34m,PG-13,6.6,58,"150,908"
18. Leo,2023,1h 42m,PG,7.0,65,"17,737"
19. Home Alone,1990,1h 43m,PG,7.7,63,"624,185"
20. The Holdovers,2023,2h 13m,R,8.1,82,"18,338"
21. The Archies,2023,2h 21m,TV-14,6.8,65,"28,253"
22. Silent Night,2023,1h 44m,R,5.9,55,"2,863"
23. Love Actually,2003,2h 15m,R,7.6,55,"513,537"
24. National Lampoon's Christmas Vacation,1989,1h 37m,PG-13,7.5,49,"210,670"
25. Elf,2003,1h 37m,PG,7.1,66,"297,170"
26. The Killer,2023,1h 58m,R,6.8,73,"131,679"
27. The Shift,2023,1h 55m,PG-13,6.4,,"1,802"
28. Thanksgiving,2023,1h 46m,R,6.9,63,"12,283"
29. The Boy and the Heron,2023,2h 4m,PG-13,7.6,92,"10,903"
30. How the Grinch Stole Christmas,2000,1h 44m,PG,6.3,46,"277,738"
31. Wish,2023,1h 35m,PG,5.9,47,"9,357"
32. A Haunting in Venice,2023,1h 43m,PG-13,6.5,63,"79,756"
33. Barbie,2023,1h 54m,PG-13,7.0,80,"401,802"
34. The Super Mario Bros. Movie,2023,1h 32m,PG,7.1,46,"209,594"
35. The Creator,2023,2h 13m,PG-13,6.9,63,"86,340"
36. Five Nights at Freddy's,2023,1h 49m,PG-13,5.5,33,"76,233"
37. The Marvels,2023,1h 45m,PG-13,5.9,50,"61,500"
38. Maestro,2023,2h 9m,R,7.3,78,"2,387"
39. The Grinch,2018,1h 25m,PG,6.4,51,"83,370"
40. Violent Night,2022,1h 52m,R,6.7,55,"84,954"
41. Mad Max: Fury Road,2015,2h,R,8.1,90,"1,060,400"
42. The Hunger Games,2012,2h 22m,PG-13,7.2,68,"979,309"
43. Trolls Band Together,2023,1h 31m,PG,6.0,53,"6,410"
44. Dream Scenario,2023,1h 42m,R,7.4,74,"6,556"
45. Aquaman and the Lost Kingdom,2023,2h 4m,PG-13,,,N/A
46. The Santa Clause,1994,1h 37m,PG,6.5,57,"129,127"
47. Genie,2023,1h 33m,PG,5.9,35,"4,792"
48. Rebel Moon: Part One - A Child of Fire,2023,2h 13m,PG-13,,,N/A
49. Die Hard,1988,2h 12m,R,8.2,72,"921,674"
50. Eileen,2023,1h 37m,R,6.7,71,"1,531"
51. Home Alone 2: Lost in New York,1992,2h,PG,6.8,46,"386,785"
52. The Polar Express,2004,1h 40m,G,6.6,61,"231,220"
53. In the Land of Saints and Sinners,2023,1h 46m,R,6.1,,"2,455"
54. X,2022,1h 45m,R,6.5,79,"155,697"
55. Mr. Monk's Last Case: A Monk Movie,2023,1h 37m,TV-PG,7.4,65,"1,627"
56. Tiger 3,2023,2h 34m,,7.4,,"43,166"
57. Anyone But You,2023,1h 40m,,,,N/A
58. Freelance,2023,1h 48m,R,5.4,24,"5,817"
59. Leo,2023,2h 44m,,7.4,,"48,649"
60. No Hard Feelings,2023,1h 43m,R,6.4,59,"115,149"
61. Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.7,86,"309,814"
62. Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,PG-13,7.8,81,"198,626"
63. Dune: Part Two,2024,2h 30m,PG-13,,,N/A
64. A Christmas Story,1983,1h 33m,PG,7.9,77,"163,676"
65. There's Something in the Barn,2023,1h 40m,R,5.7,,"1,212"
66. The Holiday,2006,2h 16m,PG-13,6.9,52,"309,822"
67. The Silencing,2020,1h 33m,R,6.2,,"31,042"
68. The Iron Claw,2023,2h 10m,,,,N/A
69. The Batman,2022,2h 56m,PG-13,7.8,72,"748,449"
70. Talk to Me,2022,1h 35m,R,7.1,76,"108,890"
71. Blue Beetle,2023,2h 7m,PG-13,6.0,61,"76,216"
72. White Christmas,1954,2h,Not Rated,7.6,56,"47,981"
73. Anatomy of a Fall,2023,2h 31m,R,7.9,86,"18,810"
74. It's a Wonderful Life,1946,2h 10m,PG,8.6,89,"484,637"
75. The Exorcist: Believer,2023,1h 51m,R,4.8,39,"30,609"
76. Everything Everywhere All at Once,2022,2h 19m,R,7.8,81,"493,011"
77. Interstellar,2014,2h 49m,PG-13,8.7,74,"2,023,131"
78. Sam Bahadur,2023,2h 30m,,8.3,,"4,919"
79. Harry Potter and the Sorcerer's Stone,2001,2h 32m,PG,7.6,65,"836,439"
80. Jawan,2023,2h 49m,Not Rated,7.1,,"79,476"
81. The Color Purple,2023,2h 20m,PG-13,,,N/A
82. The Equalizer 3,2023,1h 49m,R,6.9,58,"75,431"
83. The Suicide Squad,2021,2h 12m,R,7.2,72,"393,958"
84. Spirited,2022,2h 7m,PG-13,6.6,55,"45,405"
85. Renaissance: A Film by Beyoncé,2023,2h 49m,Not Rated,8.9,86,"2,181"
86. Scott Pilgrim vs. the World,2010,1h 52m,PG-13,7.5,69,"456,947"
87. The Shawshank Redemption,1994,2h 22m,R,9.3,82,"2,828,678"
88. Best. Christmas. Ever!,2023,1h 22m,TV-PG,4.3,34,"7,031"
89. Deadpool 3,2024,,,,,N/A
90. Last Christmas,2019,1h 43m,PG-13,6.5,50,"86,471"
91. Fast Charlie,2023,1h 30m,,6.0,,"1,425"
92. Scrooged,1988,1h 41m,PG-13,6.9,38,"111,497"
93. Godzilla vs. Kong,2021,1h 53m,PG-13,6.3,59,"229,605"
94. Past Lives,2023,1h 45m,PG-13,8.0,94,"46,304"
95. John Wick: Chapter 4,2023,2h 49m,R,7.7,78,"305,368"
96. Dune,2021,2h 35m,PG-13,8.0,74,"731,718"
97. Reptile,2023,2h 14m,R,6.8,52,"70,846"
98. It's a Wonderful Knife,2023,1h 27m,R,5.3,51,"2,695"
99. Gladiator,2000,2h 35m,R,8.5,67,"1,581,887"
100. Shin Godzilla,2016,2h,Not Rated,6.8,67,"32,391"
101. Hunter Killer,2018,2h 1m,R,6.6,43,"70,587"
102. The Wolf of Wall Street,2013,3h,R,8.2,75,"1,534,440"
103. The Godfather,1972,2h 55m,R,9.2,100,"1,971,632"
104. Ferrari,2023,2h 10m,R,6.6,74,"1,347"
105. I.S.S.,2023,1h 35m,R,7.0,,63
106. 12th Fail,2023,2h 27m,,9.2,,"9,548"
107. The Hunger Games: Catching Fire,2013,2h 26m,PG-13,7.5,76,"705,510"
108. Willy Wonka & the Chocolate Factory,1971,1h 40m,G,7.8,67,"217,259"
109. Miracle on 34th Street,1994,1h 54m,PG,6.6,,"41,687"
110. Suicide Squad,2016,2h 3m,PG-13,5.9,40,"712,713"
111. Feast of the Seven Fishes,2019,1h 39m,,6.8,68,"2,464"
112. Sound of Freedom,2023,2h 11m,PG-13,7.7,36,"88,405"
113. Godzilla,2014,2h 3m,PG-13,6.4,62,"431,577"
114. Charlie and the Chocolate Factory,2005,1h 55m,PG,6.7,72,"512,505"
115. Uncle Buck,1989,1h 40m,PG,7.1,51,"105,467"
116. Klaus,2019,1h 36m,PG,8.2,65,"176,621"
117. Jingle All the Way,1996,1h 29m,PG,5.7,34,"112,227"
118. Office Christmas Party,2016,1h 45m,R,5.9,42,"85,567"
119. Bottoms,2023,1h 31m,R,6.8,74,"23,853"
120. A Christmas Carol,2009,1h 36m,PG,6.8,55,"125,870"
121. EXmas,2023,1h 33m,,5.7,,"2,927"
122. Christmas with the Kranks,2004,1h 39m,PG,5.4,22,"55,156"
123. The Dark Knight,2008,2h 32m,PG-13,9.0,84,"2,810,042"
124. Prometheus,2012,2h 4m,R,7.0,64,"634,532"
125. Gremlins,1984,1h 46m,PG,7.3,70,"241,211"
126. Four Christmases,2008,1h 28m,PG-13,5.7,41,"78,106"
127. Mean Girls,2024,,,,,N/A
128. The Naughty Nine,2023,1h 23m,TV-PG,5.1,,"1,221"
