Pavadinimas,Metai,Trukme,Filmo indeksas,Ivertinimas pagal zmones,Ivertinimas pagal kritikus,Votes
1. Animal,2023,204,,7.1,33,"38,313"
2. May December,2023,117,R,7.1,85,"14,503"
3. Leave the World Behind,2023,138,R,6.6,68,"38,452"
4. Godzilla Minus One,2023,124,PG-13,8.5,79,"13,980"
5. Napoleon,2023,158,R,6.6,64,"59,257"
6. Killers of the Flower Moon,2023,206,R,7.9,89,"114,698"
7. Candy Cane Lane,2023,117,PG,5.6,47,"8,838"
8. Furiosa: A Mad Max Saga,2024,N/A,,,,N/A
9. The Hunger Games: The Ballad of Songbirds & Snakes,2023,157,PG-13,7.2,54,"49,044"
10. Wonka,2023,116,PG,7.5,68,"6,540"
11. Lady Ballers,2023,112,TV-14,6.3,,"8,301"
12. Poor Things,2023,141,R,8.5,88,"4,571"
13. Family Switch,2023,106,PG,5.6,37,"12,261"
14. Saltburn,2023,131,R,7.5,60,"11,209"
15. Oppenheimer,2023,180,R,8.4,89,"542,926"
16. Godzilla x Kong: The New Empire,2024,N/A,,,,N/A
17. Indiana Jones and the Dial of Destiny,2023,154,PG-13,6.6,58,"151,004"
18. Leo,2023,102,PG,7.0,65,"17,853"
19. Home Alone,1990,103,PG,7.7,63,"624,326"
20. The Holdovers,2023,133,R,8.1,82,"18,463"
21. The Archies,2023,141,TV-14,6.7,65,"28,649"
22. Silent Night,2023,104,R,5.8,55,"2,906"
23. Love Actually,2003,135,R,7.6,55,"513,607"
24. National Lampoon's Christmas Vacation,1989,97,PG-13,7.5,49,"210,707"
25. Elf,2003,97,PG,7.1,66,"297,215"
26. The Killer,2023,118,R,6.8,73,"131,873"
27. The Shift,2023,115,PG-13,6.4,,"1,844"
28. Thanksgiving,2023,106,R,6.9,63,"12,321"
29. The Boy and the Heron,2023,124,PG-13,7.7,92,"11,036"
30. How the Grinch Stole Christmas,2000,104,PG,6.3,46,"277,790"
31. Wish,2023,95,PG,5.9,47,"9,392"
32. A Haunting in Venice,2023,103,PG-13,6.5,63,"79,882"
