Pavadinimas,Metai,Trukme,Filmo indeksas,Ivertinimas pagal zmones,Ivertinimas pagal kritikus,Votes
1. Animal,2023,3h 24m,,7.1,33,"37,176"
2. May December,2023,1h 57m,R,7.1,85,"14,275"
3. Leave the World Behind,2023,2h 18m,R,6.7,68,"35,930"
4. Gojira -1.0,2023,2h 4m,PG-13,8.5,79,"13,763"
5. Napoleonas,2023,2h 38m,R,6.6,64,"58,883"
6. Gėlių mėnulio žudikai,2023,3h 26m,R,7.9,89,"114,075"
7. Candy Cane Lane,2023,1h 57m,PG,5.6,47,"8,712"
8. Furiosa,2024,,,,,N/A
9. Bado žaidynės: sakmė apie strazdą ir gyvatę,2023,2h 37m,PG-13,7.2,54,"48,737"
10. Wonka,2023,1h 56m,PG,7.5,68,"6,184"
11. Lady Ballers,2023,1h 52m,TV-14,6.4,,"8,235"
12. Prasti reikalai,2023,2h 21m,R,8.5,88,"4,520"
13. Family Switch,2023,1h 46m,PG,5.6,37,"12,090"
14. Saltburn,2023,2h 11m,R,7.5,60,"11,130"
15. Openheimeris,2023,3h,N-16,8.4,89,"542,376"
16. Godzilla x Kong: The New Empire,2024,,,,,N/A
17. Indiana Džounsas ir lemties artefaktas,2023,2h 34m,PG-13,6.6,58,"150,859"
18. Leo,2023,1h 42m,PG,7.0,65,"17,699"
19. Vienas namuose,1990,1h 43m,V,7.7,63,"624,151"
20. The Holdovers,2023,2h 13m,R,8.1,82,"18,290"
21. The Archies,2023,2h 21m,TV-14,6.8,65,"28,124"
22. Silent Night,2023,1h 44m,R,5.9,55,"2,849"
23. Tegyvuoja meilė,2003,2h 15m,R,7.6,55,"513,513"
24. Kvaišų šeimynėlė švenčia Kalėdas,1989,1h 37m,PG-13,7.5,49,"210,666"
25. Elfas,2003,1h 37m,PG,7.1,66,"297,151"
26. The Killer,2023,1h 58m,R,6.8,73,"131,610"
27. The Shift,2023,1h 55m,PG-13,6.4,,"1,801"
28. Thanksgiving,2023,1h 46m,R,6.9,63,"12,268"
29. Kimitachi wa dô ikiru ka,2023,2h 4m,PG-13,7.6,92,"10,821"
30. Kaip Grinčas Kalėdas vogė,2000,1h 44m,PG,6.3,46,"277,718"
31. Wish,2023,1h 35m,PG,5.9,47,"9,343"
32. Venecijos šmėklos,2023,1h 43m,PG-13,6.5,63,"79,717"
33. Barbė,2023,1h 54m,N-13,7.0,80,"401,736"
34. Super Mario broliai,2023,1h 32m,PG,7.1,46,"209,582"
35. Kūrėjas,2023,2h 13m,PG-13,6.9,63,"86,288"
36. Penkios naktys pas Fredį,2023,1h 49m,PG-13,5.5,33,"76,217"
37. Kapitonė Marvel 2,2023,1h 45m,PG-13,5.9,50,"61,465"
38. Maestro,2023,2h 9m,R,7.3,78,"2,379"
39. Grinčas,2018,1h 25m,V,6.4,51,"83,357"
40. Negailestinga naktis,2022,1h 52m,R,6.7,55,"84,938"
41. Pašėlęs Maksas: įtūžio kelias,2015,2h,N-16,8.1,90,"1,060,386"
42. Bado zaidynes,2012,2h 22m,PG-13,7.2,68,"979,288"
43. Trolls Band Together,2023,1h 31m,PG,6.0,53,"6,405"
44. Dream Scenario,2023,1h 42m,R,7.4,74,"6,544"
45. Akvamenas 2: Prarasta karalystė,2023,2h 4m,PG-13,,,N/A
46. Kaledu senelis,1994,1h 37m,PG,6.5,57,"129,118"
47. Genie,2023,1h 33m,PG,5.9,35,"4,782"
48. Rebel Moon - Part One: A Child of Fire,2023,2h 13m,PG-13,,,N/A
49. Kietas riešutėlis,1988,2h 12m,R,8.2,72,"921,662"
50. Eileen,2023,1h 37m,R,6.7,71,"1,519"
1. Animal,2023,3h 24m,,7.1,33,"37,176"
2. May December,2023,1h 57m,R,7.1,85,"14,275"
3. Leave the World Behind,2023,2h 18m,R,6.7,68,"35,930"
4. Gojira -1.0,2023,2h 4m,PG-13,8.5,79,"13,763"
5. Napoleonas,2023,2h 38m,R,6.6,64,"58,883"
6. Gėlių mėnulio žudikai,2023,3h 26m,R,7.9,89,"114,075"
7. Candy Cane Lane,2023,1h 57m,PG,5.6,47,"8,712"
8. Furiosa,2024,,,,,N/A
9. Bado žaidynės: sakmė apie strazdą ir gyvatę,2023,2h 37m,PG-13,7.2,54,"48,737"
10. Wonka,2023,1h 56m,PG,7.5,68,"6,184"
11. Lady Ballers,2023,1h 52m,TV-14,6.4,,"8,235"
12. Prasti reikalai,2023,2h 21m,R,8.5,88,"4,520"
13. Family Switch,2023,1h 46m,PG,5.6,37,"12,090"
14. Saltburn,2023,2h 11m,R,7.5,60,"11,130"
15. Openheimeris,2023,3h,N-16,8.4,89,"542,376"
16. Godzilla x Kong: The New Empire,2024,,,,,N/A
17. Indiana Džounsas ir lemties artefaktas,2023,2h 34m,PG-13,6.6,58,"150,859"
18. Leo,2023,1h 42m,PG,7.0,65,"17,699"
19. Vienas namuose,1990,1h 43m,V,7.7,63,"624,151"
20. The Holdovers,2023,2h 13m,R,8.1,82,"18,290"
21. The Archies,2023,2h 21m,TV-14,6.8,65,"28,124"
22. Silent Night,2023,1h 44m,R,5.9,55,"2,849"
23. Tegyvuoja meilė,2003,2h 15m,R,7.6,55,"513,513"
24. Kvaišų šeimynėlė švenčia Kalėdas,1989,1h 37m,PG-13,7.5,49,"210,666"
25. Elfas,2003,1h 37m,PG,7.1,66,"297,151"
26. The Killer,2023,1h 58m,R,6.8,73,"131,610"
27. The Shift,2023,1h 55m,PG-13,6.4,,"1,801"
28. Thanksgiving,2023,1h 46m,R,6.9,63,"12,268"
29. Kimitachi wa dô ikiru ka,2023,2h 4m,PG-13,7.6,92,"10,821"
30. Kaip Grinčas Kalėdas vogė,2000,1h 44m,PG,6.3,46,"277,718"
31. Wish,2023,1h 35m,PG,5.9,47,"9,343"
32. Venecijos šmėklos,2023,1h 43m,PG-13,6.5,63,"79,717"
33. Barbė,2023,1h 54m,N-13,7.0,80,"401,736"
34. Super Mario broliai,2023,1h 32m,PG,7.1,46,"209,582"
35. Kūrėjas,2023,2h 13m,PG-13,6.9,63,"86,288"
36. Penkios naktys pas Fredį,2023,1h 49m,PG-13,5.5,33,"76,217"
37. Kapitonė Marvel 2,2023,1h 45m,PG-13,5.9,50,"61,465"
38. Maestro,2023,2h 9m,R,7.3,78,"2,379"
39. Grinčas,2018,1h 25m,V,6.4,51,"83,357"
40. Negailestinga naktis,2022,1h 52m,R,6.7,55,"84,938"
41. Pašėlęs Maksas: įtūžio kelias,2015,2h,N-16,8.1,90,"1,060,386"
42. Bado zaidynes,2012,2h 22m,PG-13,7.2,68,"979,288"
43. Trolls Band Together,2023,1h 31m,PG,6.0,53,"6,405"
44. Dream Scenario,2023,1h 42m,R,7.4,74,"6,544"
45. Akvamenas 2: Prarasta karalystė,2023,2h 4m,PG-13,,,N/A
46. Kaledu senelis,1994,1h 37m,PG,6.5,57,"129,118"
47. Genie,2023,1h 33m,PG,5.9,35,"4,782"
48. Rebel Moon - Part One: A Child of Fire,2023,2h 13m,PG-13,,,N/A
49. Kietas riešutėlis,1988,2h 12m,R,8.2,72,"921,662"
50. Eileen,2023,1h 37m,R,6.7,71,"1,519"
1. Animal,2023,3h 24m,,7.1,33,"37,176"
2. May December,2023,1h 57m,R,7.1,85,"14,275"
3. Leave the World Behind,2023,2h 18m,R,6.7,68,"35,930"
4. Gojira -1.0,2023,2h 4m,PG-13,8.5,79,"13,763"
